"","startYear","endYear","genderConceptId","startAge","endAge","expectedLifeRemained","country","location"
"1",2002,2002,8507,0,0,73.4,"KOR","KOR"
"2",2002,2002,8532,0,0,80.3,"KOR","KOR"
"3",2003,2003,8507,0,0,73.8,"KOR","KOR"
"4",2003,2003,8532,0,0,80.8,"KOR","KOR"
"5",2004,2004,8507,0,0,74.3,"KOR","KOR"
"6",2004,2004,8532,0,0,81.2,"KOR","KOR"
"7",2005,2005,8507,0,0,74.9,"KOR","KOR"
"8",2005,2005,8532,0,0,81.6,"KOR","KOR"
"9",2006,2006,8507,0,0,75.4,"KOR","KOR"
"10",2006,2006,8532,0,0,82.1,"KOR","KOR"
"11",2007,2007,8507,0,0,75.9,"KOR","KOR"
"12",2007,2007,8532,0,0,82.5,"KOR","KOR"
"13",2008,2008,8507,0,0,76.2,"KOR","KOR"
"14",2008,2008,8532,0,0,83,"KOR","KOR"
"15",2009,2009,8507,0,0,76.7,"KOR","KOR"
"16",2009,2009,8532,0,0,83.4,"KOR","KOR"
"17",2010,2010,8507,0,0,76.8,"KOR","KOR"
"18",2010,2010,8532,0,0,83.6,"KOR","KOR"
"19",2011,2011,8507,0,0,77.3,"KOR","KOR"
"20",2011,2011,8532,0,0,84,"KOR","KOR"
"21",2012,2012,8507,0,0,77.6,"KOR","KOR"
"22",2012,2012,8532,0,0,84.2,"KOR","KOR"
"23",2013,2013,8507,0,0,78.1,"KOR","KOR"
"24",2013,2013,8532,0,0,84.6,"KOR","KOR"
"25",2014,2014,8507,0,0,78.6,"KOR","KOR"
"26",2014,2014,8532,0,0,85,"KOR","KOR"
"27",2015,2015,8507,0,0,79,"KOR","KOR"
"28",2015,2015,8532,0,0,85.2,"KOR","KOR"
"29",2016,2016,8507,0,0,79.3,"KOR","KOR"
"30",2016,2016,8532,0,0,85.4,"KOR","KOR"
"31",2017,2017,8507,0,0,79.7,"KOR","KOR"
"32",2017,2017,8532,0,0,85.7,"KOR","KOR"
"33",2002,2002,8507,1,1,72.8,"KOR","KOR"
"34",2002,2002,8532,1,1,79.7,"KOR","KOR"
"35",2003,2003,8507,1,1,73.2,"KOR","KOR"
"36",2003,2003,8532,1,1,80.1,"KOR","KOR"
"37",2004,2004,8507,1,1,73.7,"KOR","KOR"
"38",2004,2004,8532,1,1,80.6,"KOR","KOR"
"39",2005,2005,8507,1,1,74.2,"KOR","KOR"
"40",2005,2005,8532,1,1,80.9,"KOR","KOR"
"41",2006,2006,8507,1,1,74.8,"KOR","KOR"
"42",2006,2006,8532,1,1,81.4,"KOR","KOR"
