"startYear","endYear","genderConceptId","startAge","endAge","population","country","location"
1993,1993,8507,0,0,375330,"KOR","KOR"
1993,1993,8532,0,0,327610,"KOR","KOR"
1994,1994,8507,0,0,375879,"KOR","KOR"
1994,1994,8532,0,0,325853,"KOR","KOR"
1995,1995,8507,0,0,374290,"KOR","KOR"
1995,1995,8532,0,0,327409,"KOR","KOR"
1996,1996,8507,0,0,365074,"KOR","KOR"
1996,1996,8532,0,0,324318,"KOR","KOR"
1997,1997,8507,0,0,352089,"KOR","KOR"
1997,1997,8532,0,0,319862,"KOR","KOR"
1998,1998,8507,0,0,332301,"KOR","KOR"
1998,1998,8532,0,0,304077,"KOR","KOR"
1999,1999,8507,0,0,313128,"KOR","KOR"
1999,1999,8532,0,0,284761,"KOR","KOR"
2000,2000,8507,0,0,312985,"KOR","KOR"
2000,2000,8532,0,0,285050,"KOR","KOR"
2001,2001,8507,0,0,298258,"KOR","KOR"
2001,2001,8532,0,0,272123,"KOR","KOR"
2002,2002,8507,0,0,262155,"KOR","KOR"
2002,2002,8532,0,0,239321,"KOR","KOR"
2003,2003,8507,0,0,245196,"KOR","KOR"
2003,2003,8532,0,0,224565,"KOR","KOR"
2004,2004,8507,0,0,239340,"KOR","KOR"
2004,2004,8532,0,0,220905,"KOR","KOR"
2005,2005,8507,0,0,224446,"KOR","KOR"
2005,2005,8532,0,0,208093,"KOR","KOR"
2006,2006,8507,0,0,217189,"KOR","KOR"
2006,2006,8532,0,0,202109,"KOR","KOR"
2007,2007,8507,0,0,231011,"KOR","KOR"
2007,2007,8532,0,0,216487,"KOR","KOR"
2008,2008,8507,0,0,235528,"KOR","KOR"
2008,2008,8532,0,0,221812,"KOR","KOR"
2009,2009,8507,0,0,223867,"KOR","KOR"
2009,2009,8532,0,0,210609,"KOR","KOR"
2010,2010,8507,0,0,225130,"KOR","KOR"
2010,2010,8532,0,0,211372,"KOR","KOR"
2011,2011,8507,0,0,231723,"KOR","KOR"
2011,2011,8532,0,0,218296,"KOR","KOR"
2012,2012,8507,0,0,235286,"KOR","KOR"
2012,2012,8532,0,0,222673,"KOR","KOR"
2013,2013,8507,0,0,227400,"KOR","KOR"
2013,2013,8532,0,0,215502,"KOR","KOR"
2014,2014,8507,0,0,215720,"KOR","KOR"
2014,2014,8532,0,0,204915,"KOR","KOR"
2015,2015,8507,0,0,216519,"KOR","KOR"
2015,2015,8532,0,0,205664,"KOR","KOR"
2016,2016,8507,0,0,209649,"KOR","KOR"
2016,2016,8532,0,0,199449,"KOR","KOR"
2017,2017,8507,0,0,189830,"KOR","KOR"
2017,2017,8532,0,0,179881,"KOR","KOR"
2018,2018,8507,0,0,170538,"KOR","KOR"
2018,2018,8532,0,0,161187,"KOR","KOR"
1993,1993,8507,1,1,378032,"KOR","KOR"
1993,1993,8532,1,1,335409,"KOR","KOR"
1994,1994,8507,1,1,382933,"KOR","KOR"
1994,1994,8532,1,1,335067,"KOR","KOR"
1995,1995,8507,1,1,381605,"KOR","KOR"
1995,1995,8532,1,1,331421,"KOR","KOR"
1996,1996,8507,1,1,379367,"KOR","KOR"
1996,1996,8532,1,1,332458,"KOR","KOR"
1997,1997,8507,1,1,368891,"KOR","KOR"
1997,1997,8532,1,1,328147,"KOR","KOR"
1998,1998,8507,1,1,355191,"KOR","KOR"
1998,1998,8532,1,1,323271,"KOR","KOR"
1999,1999,8507,1,1,341781,"KOR","KOR"
1999,1999,8532,1,1,313248,"KOR","KOR"
2000,2000,8507,1,1,329036,"KOR","KOR"
2000,2000,8532,1,1,299636,"KOR","KOR"
2001,2001,8507,1,1,328615,"KOR","KOR"
2001,2001,8532,1,1,299573,"KOR","KOR"
2002,2002,8507,1,1,312282,"KOR","KOR"
2002,2002,8532,1,1,285483,"KOR","KOR"
2003,2003,8507,1,1,274022,"KOR","KOR"
2003,2003,8532,1,1,250822,"KOR","KOR"
2004,2004,8507,1,1,256295,"KOR","KOR"
