year,gender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80+,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
1993 ,male,375330 ,378032 ,357807 ,338668 ,332776 ,327040 ,326965 ,337726 ,344471 ,368325 ,409327 ,433748 ,438389 ,432927 ,405639 ,393002 ,401779 ,405130 ,430467 ,456903 ,468151 ,485580 ,491525 ,484743 ,485099 ,466056 ,447143 ,449151 ,449441 ,439430 ,455704 ,486433 ,494488 ,479219 ,445480 ,428348 ,406947 ,390345 ,369812 ,320118 ,312332 ,285964 ,251405 ,262524 ,264237 ,264727 ,240828 ,204210 ,198386 ,206228 ,236872 ,242683 ,208894 ,202519 ,199138 ,185481 ,176678 ,169948 ,159246 ,141541 ,128040 ,114731 ,102262 ,99301 ,94719 ,86832 ,78193 ,71804 ,69417 ,68799 ,67586 ,60234 ,51793 ,46742 ,40964 ,37323 ,34278 ,28514 ,24265 ,21299 ,95836 ,,,,,,,,,,,,,,,,,,,,,
1993,female,327610 ,335409 ,314341 ,298619 ,297698 ,296776 ,298856 ,308020 ,318698 ,344088 ,385296 ,408781 ,413151 ,412707 ,381919 ,370980 ,383064 ,384389 ,408487 ,435605 ,444181 ,453106 ,461240 ,460115 ,465823 ,455458 ,419763 ,413970 ,425086 ,407008 ,418201 ,454958 ,473035 ,458482 ,419345 ,397772 ,379510 ,371921 ,351075 ,300825 ,297078 ,270234 ,236907 ,247401 ,249497 ,253457 ,231519 ,196666 ,197694 ,210517 ,240118 ,246282 ,216165 ,212639 ,211099 ,199349 ,193358 ,191445 ,185380 ,170711 ,160950 ,151213 ,143490 ,141782 ,135845 ,128502 ,116237 ,107258 ,100391 ,100397 ,104983 ,94248 ,81782 ,73911 ,67544 ,65986 ,64069 ,56378 ,50038 ,46758 ,273117 ,,,,,,,,,,,,,,,,,,,,,
1994,male,375879 ,382933 ,378766 ,358294 ,339014 ,333030 ,327550 ,327650 ,337183 ,344177 ,368069 ,408775 ,433247 ,437801 ,432138 ,405068 ,392240 ,400489 ,404106 ,429371 ,456074 ,467154 ,484826 ,490405 ,483621 ,483884 ,464979 ,445885 ,447959 ,448068 ,438103 ,454271 ,484915 ,492684 ,477932 ,443867 ,426523 ,405004 ,388415 ,367854 ,318384 ,310760 ,284136 ,249921 ,260942 ,262434 ,262878 ,238868 ,202504 ,196559 ,204285 ,234561 ,240118 ,206363 ,199833 ,196409 ,182768 ,173798 ,167231 ,156211 ,138732 ,125410 ,112021 ,99753 ,96613 ,91888 ,84112 ,75493 ,69089 ,66455 ,65702 ,64274 ,56985 ,48773 ,43799 ,38115 ,34552 ,31474 ,26004 ,21882 ,100684 ,,,,,,,,,,,,,,,,,,,,,
1994,female,325853 ,335067 ,336316 ,315152 ,299185 ,298185 ,297492 ,299631 ,307669 ,318541 ,343843 ,384935 ,408495 ,412681 ,412162 ,381299 ,370486 ,381869 ,383609 ,408016 ,435313 ,443561 ,452754 ,460968 ,459780 ,465417 ,454962 ,419184 ,413422 ,424330 ,406298 ,417198 ,454185 ,472127 ,457998 ,418485 ,396887 ,378402 ,371147 ,349985 ,300006 ,296279 ,269458 ,236204 ,246675 ,248792 ,252617 ,230672 ,196059 ,196786 ,209824 ,239168 ,245213 ,215286 ,211546 ,209978 ,198257 ,192208 ,190335 ,184025 ,169447 ,159591 ,149763 ,142033 ,140129 ,134094 ,126737 ,114438 ,105335 ,98356 ,98268 ,102425 ,91723 ,79195 ,71264 ,64917 ,63125 ,60973 ,53355 ,47044 ,285303 ,,,,,,,,,,,,,,,,,,,,,
1995,male,374290 ,381605 ,383397 ,379214 ,358442 ,339088 ,333354 ,327795 ,327196 ,336836 ,343707 ,367488 ,408343 ,432469 ,436925 ,431386 ,404051 ,390881 ,399333 ,402862 ,428439 ,455138 ,466260 ,483605 ,489079 ,482217 ,482615 ,463367 ,444406 ,446463 ,446627 ,436368 ,452494 ,482901 ,491104 ,475424 ,441725 ,424344 ,402847 ,386415 ,365776 ,316650 ,308802 ,282252 ,248252 ,258839 ,260416 ,260716 ,236708 ,200572 ,194707 ,202333 ,232141 ,237374 ,203736 ,197294 ,193575 ,179912 ,171045 ,164120 ,153364 ,135839 ,122559 ,109322 ,97072 ,93835 ,89039 ,81205 ,72697 ,66146 ,63476 ,62506 ,60870 ,53645 ,45659 ,40823 ,35342 ,31787 ,28663 ,23396 ,105226 ,,,,,,,,,,,,,,,,,,,,,
1995,female,327409 ,331421 ,335751 ,336866 ,315505 ,299444 ,298700 ,297863 ,299246 ,307519 ,318079 ,343433 ,384588 ,407799 ,411978 ,411507 ,380488 ,369359 ,380889 ,383051 ,407585 ,434702 ,443026 ,452298 ,460414 ,459096 ,464765 ,454094 ,418301 ,412618 ,423376 ,405222 ,416258 ,453096 ,471435 ,456264 ,417381 ,395729 ,377328 ,370030 ,348839 ,299114 ,295286 ,268477 ,235438 ,245916 ,247952 ,251771 ,229897 ,195069 ,196378 ,208847 ,238252 ,244264 ,214101 ,210617 ,208873 ,197106 ,191101 ,188921 ,182733 ,168013 ,158154 ,148293 ,140318 ,138458 ,132185 ,124842 ,112453 ,103259 ,96190 ,95823 ,99571 ,88743 ,76393 ,68498 ,62012 ,59927 ,57632 ,50082 ,295321 ,,,,,,,,,,,,,,,,,,,,,
1996,male,365074 ,379367 ,381854 ,383797 ,379436 ,358702 ,339638 ,333458 ,327620 ,326810 ,336402 ,343287 ,367102 ,407622 ,431793 ,436222 ,430257 ,402912 ,389730 ,398189 ,402133 ,427742 ,454338 ,465170 ,482466 ,487860 ,481047 ,481089 ,462132 ,443220 ,445325 ,445096 ,435013 ,450850 ,481152 ,488646 ,473335 ,439634 ,422321 ,400951 ,384415 ,363867 ,314854 ,306727 ,280334 ,246276 ,256887 ,258213 ,258542 ,234642 ,198736 ,192973 ,200362 ,229599 ,234596 ,201188 ,194623 ,190711 ,177121 ,168146 ,161184 ,150227 ,132875 ,119690 ,106635 ,94499 ,91032 ,86130 ,78293 ,69866 ,63315 ,60427 ,59331 ,57471 ,50313 ,42706 ,37911 ,32557 ,29078 ,25858 ,21039 ,21039 ,17384 ,14865 ,12678 ,10805 ,,,,,,,,,,,,,,,,
1996,female,324318 ,332458 ,331860 ,336173 ,337265 ,315969 ,300090 ,298987 ,297588 ,299183 ,306994 ,317802 ,343126 ,383974 ,407213 ,411322 ,410732 ,379558 ,368197 ,380416 ,382636 ,407261 ,434294 ,442954 ,452175 ,460180 ,458783 ,464263 ,453446 ,417848 ,411804 ,422576 ,404594 ,415488 ,452133 ,469814 ,455187 ,416429 ,394712 ,376385 ,368958 ,347850 ,298146 ,294291 ,267740 ,234806 ,245127 ,247102 ,250959 ,229054 ,194688 ,195447 ,208184 ,237295 ,243145 ,213318 ,209559 ,207776 ,196024 ,189841 ,187661 ,181262 ,166563 ,156732 ,146644 ,138792 ,136545 ,130311 ,122828 ,110325 ,101097 ,93913 ,93208 ,96564 ,85740 ,73533 ,65541 ,58970 ,56674 ,54216 ,46780 ,46780 ,40629 ,36997 ,33580 ,29709 ,,,,,,,,,,,,,,,,
1997,male,352089 ,368891 ,379471 ,382116 ,384011 ,379669 ,359277 ,339742 ,333236 ,327263 ,326492 ,336172 ,343005 ,366552 ,407193 ,431170 ,435381 ,429137 ,401861 ,388779 ,397648 ,401502 ,427052 ,453305 ,464105 ,481276 ,486639 ,479698 ,479899 ,460907 ,442026 ,443908 ,443728 ,433405 ,449182 ,479206 ,486679 ,471269 ,437657 ,420568 ,398974 ,382453 ,361868 ,312914 ,304772 ,278446 ,244554 ,254843 ,256352 ,256453 ,232655 ,197032 ,191133 ,198287 ,227026 ,231635 ,198606 ,191914 ,187802 ,174166 ,165095 ,158120 ,147157 ,129896 ,116896 ,103862 ,91837 ,88237 ,83199 ,75398 ,66956 ,60305 ,57403 ,56148 ,54088 ,47149 ,39670 ,35007 ,29925 ,26395 ,23320 ,23320 ,18749 ,15324 ,12952 ,10987 ,,,,,,,,,,,,,,,,
1997,female,319862 ,328147 ,332742 ,332183 ,336612 ,337695 ,316628 ,300366 ,298818 ,297479 ,298833 ,306755 ,317571 ,342706 ,383493 ,406690 ,410753 ,409603 ,378495 ,367901 ,380121 ,382419 ,407032 ,434429 ,443058 ,452137 ,460058 ,458584 ,463881 ,452980 ,417164 ,411244 ,421954 ,404015 ,414817 ,451216 ,468821 ,454313 ,415566 ,393884 ,375590 ,368071 ,346977 ,297523 ,293566 ,267180 ,234125 ,244401 ,246495 ,250167 ,228323 ,193922 ,194876 ,207355 ,236323 ,242153 ,212275 ,208570 ,206642 ,194842 ,188548 ,186225 ,179884 ,165098 ,155151 ,145105 ,137087 ,134680 ,128304 ,120626 ,108183 ,98807 ,91507 ,90558 ,93335 ,82635 ,70510 ,62544 ,55879 ,53466 ,50762 ,50762 ,43386 ,37318 ,33712 ,30229 ,,,,,,,,,,,,,,,,
